TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115367,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115367]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627081","Fixed","High",2021-11-15T12:20:04.926+01:00,248648,"joost schouppe",,"",,"","","","","",""
120115369,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115369]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627151","Fixed","High",2021-11-15T12:13:43.100+01:00,182270,"joost schouppe",,"",,"","","","","",""
120115368,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115368]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627082","Fixed","High",2021-11-15T12:20:08.920+01:00,3782,"joost schouppe",,"",,"","","","","",""
120115371,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115371]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627184","Fixed","High",2021-11-14T17:31:55.296+01:00,30920,"joost schouppe",,"",,"","","","","",""
120115372,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115372]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627205","Fixed","High",2021-11-14T17:31:24.226+01:00,245591,"joost schouppe",,"",,"","","","","",""
120115373,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115373]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627209","Fixed","High",2021-11-14T22:20:59.834+01:00,82410,"Thibault Rommel",,"",,"","","","","",""
120115374,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115374]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627352","Fixed","High",2021-11-15T12:09:27.397+01:00,71288,"joost schouppe",,"",,"","","","","",""
120115375,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115375]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627693","Fixed","High",2021-11-14T17:08:34.630+01:00,77158,"Thibault Rommel",,"",,"","","","","",""
120115377,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115377]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629013","Fixed","High",2021-11-15T22:15:53.999+01:00,35819,"joost schouppe",,"",,"","","","","",""
120115378,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115378]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629030","Fixed","High",2021-11-14T16:52:46.826+01:00,65539,"Thibault Rommel",,"",,"","","Thibault Rommel: B5 gemapt","","",""
