bordId;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name
2635423;102517,591300003;194104,7969;C3; ;All vehicles prohibited
2635439;102180,4811;194393,480099998;C3; ;All vehicles prohibited
2635446;102513,292300001;194099,718699999;C3; ;All vehicles prohibited
2635458;102565,460500002;193969,520500001;C3; ;All vehicles prohibited
2635478;102478,103100002;194113,2663;C3; ;All vehicles prohibited
2636799;223250,250100002;202996,500100002;C3; ;All vehicles prohibited
2636802;223195,000100002;202691,875100002;C3; ;All vehicles prohibited
2636806;222957,750100002;202775,000100002;C3; ;All vehicles prohibited
2637740;102478,103100002;194113,2663;C3; ;All vehicles prohibited
2637795;107158,676100001;191783,969099998;C3; ;All vehicles prohibited
2586905;80851,7841000035;178411,126899999;C43;Neen|50;Speed limit
2620342;252610,750100002;161356,500100002;C43;Neen|50;Speed limit
2621910;250090,625100002;161157,000100002;C43;Neen|30;Speed limit
2621915;249831,875100002;161267,375100002;C43;Neen|30;Speed limit
2626378;103236,238899998;190905,267099999;C43;Neen|70;Speed limit
2626619;158921,618500002;193604,752099998;C43;Neen|70;Speed limit
2626625;158921,618500002;193604,752099998;C43;Neen|70;Speed limit
2627006;173604,271899998;181701,647700001;C43;"neen|C43|[""400"",""Neen"",""30""]|";Speed limit
2627008;173596,271899998;181729,647700001;C43;"ja|C43|[""400"",""Neen"",""30""]|";Speed limit
2627009;173650,271899998;181888,647700001;C43;"ja|C43|[""400"",""Neen"",""30""]|";Speed limit
2627115;176752,271899998;181922,210299999;C43;Neen|30;Speed limit
2627271;174248,250100002;182231,1875;C43;Neen|30;Speed limit
2627297;177375,156300001;182233,906300001;C43;"neen|C43|[""400"",""Neen"",""30""]|";Speed limit
2627319;173886,6875;182710,093699999;C43;"neen|C43|[""400"",""Neen"",""30""]|";Speed limit
2627371;173322,9375;185501,281300001;C43;"neen|C43|[""400"",""Neen"",""50""]|";Speed limit
2627373;173333,9375;185494,781300001;C43;"ja|C43|[""400"",""Neen"",""50""]|";Speed limit
2627504;81615,1501000002;192683,9001;C43;"ja|C43|[""400"",""Ja"",""30""]|";Speed limit
2628325;173635,093699999;181887,000100002;C43;"neen|C43|[""400"",""Neen"",""30""]|";Speed limit
2628475;166409,2337;207882,024900001;C43;"ja|C43|[""400"",""Neen"",""30""]|";Speed limit
