;id_aanzicht;opinion;bordcode;latitude;longitude;parameters;name;datum_plaatsing;id
3823;1925828;1.0;C43;51.166995221887625;2.829236771308619;Neen,50;Speed limit;18/10/2022;2959733
3824;1925829;1.0;C43;51.163110803469685;2.817343224288369;Neen,50;Speed limit;18/10/2022;2959734
3825;1925830;1.0;C43;51.163012560622114;2.8173929585301027;Neen,50;Speed limit;18/10/2022;2959735
3826;1925833;1.0;C43;51.159893597760096;2.819848530339642;Neen,50;Speed limit;18/10/2022;2959739
3827;1925834;1.0;C43;51.159875996982294;2.8197061372252947;Neen,50;Speed limit;18/10/2022;2959740
3828;1925843;1.0;C43;51.15585893716175;2.7983910420285194;Neen,50;Speed limit;18/10/2022;2959750
3830;1925846;1.0;C43;51.15582541315751;2.798574449869476;Neen,50;Speed limit;18/10/2022;2959754
3836;1925882;1.0;GIa | B1;50.91393619920372;3.537418461948143;100m;Give way;28/09/2022;2959797
3838;1925884;1.0;B1 | M10;50.913159189279895;3.5373696426793124;;Give way;28/09/2022;2959801
3839;1925885;1.0;B5;50.9116799221233;3.535282021006148;;Stop sign;06/09/2022;2959802
3840;1925886;1.0;GIb | B1;50.910778115486586;3.53677149859368;m,;Give way;06/09/2022;2959804
3843;1925903;1.0;C43;51.15533997590006;2.801455404422349;Neen,50;Speed limit;18/10/2022;2959829
3844;1925904;1.0;C43;51.155361774546485;2.8016583963029342;Neen,50;Speed limit;18/10/2022;2959830
3845;1925905;1.0;C43;51.15529318052112;2.801655336526809;Neen,50;Speed limit;18/10/2022;2959831
3846;1925906;1.0;C43;51.155198564486874;2.8013850937312665;Neen,50;Speed limit;18/10/2022;2959832
3847;1925907;1.0;C43;51.15173161882914;2.8001201423998814;Neen,50;Speed limit;18/10/2022;2959833
3848;1925908;1.0;C43;51.155962116835425;2.798375063537777;Neen,50;Speed limit;18/10/2022;2959834
3857;1926092;1.0;B1 | C31a;51.14262214442089;5.600235665227545;;Give way;07/10/2022;2960203
3858;1926093;1.0;M12 | C1;51.14195751745338;5.597791553204202;;One-way street;30/09/2022;2960205
3859;1926095;1.0;M12 | C1;51.142552776351536;5.600314223302435;;One-way street;30/09/2022;2960209
3870;1926171;1.0;IV4 | F49;50.84170610716643;3.1716325696817966;;Pedestrian crossing;07/10/2022;2960330
3872;1926173;1.0;IV4 | F49;50.84203508134043;3.171747592918053;;Pedestrian crossing;07/10/2022;2960333
3873;1926176;1.0;IV4 | F49;50.84625436032304;3.199220970662279;;Pedestrian crossing;07/10/2022;2960340
3874;1926177;1.0;F49 | IV4;50.84666360833265;3.198976902153565;;Pedestrian crossing;07/10/2022;2960342
3875;1926182;1.0;C1 | M2;50.84663964593029;3.2005361372659724;;One-way street|Except for bicycles;07/10/2022;2960350
3876;1926185;2.0;F111 | XX;50.844889705389;3.200162744801084;;Bicycle road;07/10/2022;2960354
3877;1926186;1.0;M4 | F19;50.84486177285783;3.2001475342006485;;Not oneway for bicycles|One-way street;07/10/2022;2960356
3882;1926245;2.0;F12a;51.15061357886181;5.588417517235084;;Living street;07/10/2022;2960460
3887;1926281;1.0;B1;51.13987799318942;5.596623721457915;;Give way;07/10/2022;2960504
3888;1926304;1.0;M3 | C1;51.15442787750421;5.603589335804331;;Except for bicycles and mopeds|One-way street;07/10/2022;2960537
3889;1926324;1.0;F4a;51.153240391655494;5.603775462155244;;Speed limit zone;07/10/2022;2960598
3890;1926334;1.0;B21 | F87;51.14911435293523;5.608968191517751;;Speed bump;07/10/2022;2960610
3891;1926336;1.0;F87 | B19;51.14910578810455;5.6090876700534364;;Speed bump;07/10/2022;2960614
3892;1926338;1.0;F87 | B19;51.1504997641608;5.607752523154359;;Speed bump;07/10/2022;2960618
3893;1926341;1.0;F87 | B21;51.15049471176094;5.6075915850018125;;Speed bump;07/10/2022;2960623
3894;1926354;1.0;F4a;51.15191812499014;5.605269053739351;;Speed limit zone;07/10/2022;2960642
3895;1926355;1.0;A7c | B19;51.1532295056155;5.604090553957558;;Road narrows left;07/10/2022;2960644
3896;1926357;1.0;F4a;51.1533944134054;5.602506435905599;;Speed limit zone;07/10/2022;2960646
3897;1926359;1.0;B1 | F4b;51.15333273452582;5.6023868752800094;;Give way|End of speed limit zone;07/10/2022;2960653
3900;1926396;1.0;F19 | E9b;51.13906627417041;5.596605928618824;;One-way street|Parking for cars only;07/10/2022;2960699
3901;1926397;1.0;M3 | C31b;51.13908238993715;5.596784979555974;;Except for bicycles and mopeds;07/10/2022;2960701
3902;1926398;1.0;M10 | B1;51.13960700240025;5.597448990489878;;Give way;07/10/2022;2960703
3903;1926400;1.0;B1 | D1f;51.13968012537615;5.597549175639018;;Give way;07/10/2022;2960706
3905;1926404;1.0;F19 | F4a;51.139656532110216;5.598411319748229;;One-way street|Speed limit zone;07/10/2022;2960711
3906;1926414;1.0;C1 | M2;51.139754649117506;5.598485356240436;;One-way street|Except for bicycles;07/10/2022;2960726
3907;1926415;2.0;E1 (zone) | D3a | F12a;51.13970955665253;5.598391280989889;"neen,E1,[""400""],";Living street;07/10/2022;2960729
3908;1926417;2.0;D1e | F12b | E1 (zone);51.13975135887508;5.59826199677029;"ja,E1,[""400""],";End of Living street;07/10/2022;2960735
3913;1926426;1.0;C45 (zone) | F19;51.13983486955715;5.6000594137460284;"ja,C45,[""400"",""30""],";One-way street;07/10/2022;2960746
3914;1926428;1.0;C1;51.13989485364077;5.599910946546807;;One-way street;07/10/2022;2960748
3915;1926431;2.0;F12a | C1 | M12;51.140447028828916;5.601094894947041;;Living street|One-way street;30/09/2022;2960756
3916;1926432;2.0;F12a | F19;51.14038815864252;5.600988605135062;;Living street|One-way street;07/10/2022;2960758
3917;1926433;1.0;C1;51.14032239460354;5.600829672996329;;One-way street;07/10/2022;2960759
3918;1926434;1.0;B1 | D1f;51.140505219384586;5.601507957975448;;Give way;07/10/2022;2960761
3919;1926438;1.0;F19;51.14062853147764;5.601429043281841;;One-way street;07/10/2022;2960767
3921;1926448;1.0;C1;51.14211936159437;5.600603801478502;;One-way street;07/10/2022;2960780
3922;1926450;1.0;C1;51.14182458468701;5.600853260482337;;One-way street;07/10/2022;2960782
3926;1926471;1.0;C1;51.141068273016856;5.601287029850225;;One-way street;30/09/2022;2960813
3927;1926472;1.0;F19;51.141132480224485;5.601379814808234;;One-way street;07/10/2022;2960814
3929;1926477;1.0;C1;51.14097319601246;5.601352400483043;;One-way street;30/09/2022;2960823
3933;1926521;1.0;C43;50.95652003400696;4.732191457805192;Neen,50;Speed limit;31/08/2022;2960881
3935;1926652;1.0;C3 | GIII;51.08676690134606;3.7910776696190993;private weg;All vehicles prohibited;07/10/2022;2961193
3936;1926739;1.0;F4a;51.02548315963985;3.704178728638243;;Speed limit zone;30/09/2022;2961359
3938;1926795;1.0;F4a;51.03546024101863;3.701918062009105;;Speed limit zone;09/10/2022;2961475
3940;1926805;1.0;F4b;51.03544792235345;3.701842802688295;;End of speed limit zone;09/10/2022;2961490
3948;1926964;1.0;F4a;51.20184116542295;2.9359508580946594;;Speed limit zone;01/09/2022;2961740
3951;1927178;1.0;B1;51.03495908632276;4.450521002595558;;Give way;10/10/2022;2962086
3954;1927196;1.0;B9 | C43 | F13;50.94035194150669;5.341029056883338;Neen,90|3,rechts,geen pijl,geen pijl,stippellijn;Priority road|Speed limit;10/10/2022;2962127
3955;1927199;1.0;GIa | A25;50.96852647486622;2.947726935800516;m,120;Bicycle crossing;10/10/2022;2962131
3956;1927206;1.0;GIa | A25;50.97067881907989;2.9476474817991782;m,100;Bicycle crossing;10/10/2022;2962145
3957;1927261;1.0;F4b;51.20266919666855;2.968612709875796;;End of speed limit zone;01/09/2022;2962233
3958;1927262;1.0;F4a;51.202632325919254;2.9685434098899237;;Speed limit zone;01/09/2022;2962234
3962;1927466;1.0;B1 | D1f | E1 | GXb;51.04064059819088;3.7104490569288537;;Give way|No Parking;07/09/2022;2962674
3964;1927480;1.0;B1;51.04230077532721;3.7109002232104062;;Give way;03/10/2022;2962702
3965;1927495;1.0;B1 | D1f | E9a | GIII | GXb;51.03962834247551;3.7100332862695518;BEWONERS;Give way|Parking;07/09/2022;2962731
3966;1927499;1.0;B1 | VL - Fts;51.03879908919495;3.710215798435179;;Give way;07/09/2022;2962739
3969;1927548;1.0;F4a;51.195734535478664;2.9747367160171185;;Speed limit zone;01/09/2022;2962819
3975;1927591;1.0;C43;51.14292624169823;5.68357198774704;Neen,50;Speed limit;11/10/2022;2962889
3976;1927592;1.0;C43;51.14281013285986;5.683604446194659;Neen,50;Speed limit;11/10/2022;2962890
